No.,Clave Reactivo,Sesión,Tipo de Reactivo,Área,Subárea,Tema,ID Especificación,Clave de la Especificación,Definición Operacional,Nivel taxonómico,(%) RES. COR.,CORRELACIÓN BIS. PUNT. (Pearson),RPBIS_OP1E,RPBIS_OP2E,RPBIS_OP3E,RPBIS_OP4E,Condición,Clasificación
1,40,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.1 Logro de los propósitos educativos del nivel,24660,SUB-SEC.01,"A partir de propósitos de la educación básica, identificar los que corresponden al nivel.",Conocimiento,20.79,0.173,-0.015,-0.238,0.173,-0.048,2017,Ancla
2,183,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.1 Logro de los propósitos educativos del nivel,24660,SUB-SEC.01,"A partir de propósitos de la educación básica, identificar los que corresponden al nivel.",Conocimiento,60.02,0.222,-0.164,0.222,-0.174,-0.169,2017,Ancla
3,8,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.1 Logro de los propósitos educativos del nivel,24661,SUB-SEC.02,"A partir de propósitos, identificar la relación con los aprendizajes esperados",Comprensión,27.200,0.278,-0.208,-0.124,-0.131,0.278,2017,Ancla
4,469,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.1 Logro de los propósitos educativos del nivel,24661,SUB-SEC.02,"A partir de propósitos, identificar la relación con los aprendizajes esperados",Comprensión,75.83,0.226,-0.131,0.226,-0.177,-0.206,2017,Ancla
5,665,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.1 Logro de los propósitos educativos del nivel,24661,SUB-SEC.02,"A partir de propósitos, identificar la relación con los aprendizajes esperados",Comprensión,,,,,,,Piloto Fijo,Piloto Fijo
6,495,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.2 Prácticas docentes,24662,SUB-SEC.03,"A partir de ejemplos de prácticas docentes, identificar aquellos que contribuyen al aprendizaje permanente.",Conocimiento,,,,,,,Nuevo,Nuevo
7,9,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.2 Prácticas docentes,24662,SUB-SEC.03,"A partir de ejemplos de prácticas docentes, identificar aquellos que contribuyen al aprendizaje permanente.",Conocimiento,58.83,0.27,-0.188,-0.092,-0.269,0.27,2017,Ancla
8,496,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.2 Prácticas docentes,24662,SUB-SEC.03,"A partir de ejemplos de prácticas docentes, identificar aquellos que contribuyen al aprendizaje permanente.",Conocimiento,,,,,,,Piloto Fijo,Piloto Fijo
9,498,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.2 Prácticas docentes,24663,SUB-SEC.04,"A partir de ejemplos de prácticas docentes, identificar aquellas que contribuyen al logro de competencias en los alumnos",Comprensión,,,,,,,Nuevo,Nuevo
10,43,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.2 Prácticas docentes,24663,SUB-SEC.04,"A partir de ejemplos de prácticas docentes, identificar aquellas que contribuyen al logro de competencias en los alumnos",Comprensión,31.430,0.224,-0.047,-0.287,0.224,-0.038,2017,Ancla
11,50,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.2 Prácticas docentes,24663,SUB-SEC.04,"A partir de ejemplos de prácticas docentes, identificar aquellas que contribuyen al logro de competencias en los alumnos",Comprensión,58.58,0.206,-0.16,-0.22,0.206,-0.141,2017,Ancla
12,507,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.2 Prácticas docentes,24663,SUB-SEC.04,"A partir de ejemplos de prácticas docentes, identificar aquellas que contribuyen al logro de competencias en los alumnos",Comprensión,,,,,,,Piloto Fijo,Piloto Fijo
13,504,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.3 Influencia del entorno en el logro de propósitos educativos,24664,SUB-SEC.05,"A partir de descripciones del entorno familiar y sociocultural, identificar las acciones que favorecen los procesos de desarrollo y aprendizaje de los alumnos",Aplicación,,,,,,,Nuevo,Nuevo
14,164,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.3 Influencia del entorno en el logro de propósitos educativos,24664,SUB-SEC.05,"A partir de descripciones del entorno familiar y sociocultural, identificar las acciones que favorecen los procesos de desarrollo y aprendizaje de los alumnos",Aplicación,57.43,0.255,-0.015,0.255,-0.201,-0.281,2017,Ancla
15,470,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.3 Influencia del entorno en el logro de propósitos educativos,24664,SUB-SEC.05,"A partir de descripciones del entorno familiar y sociocultural, identificar las acciones que favorecen los procesos de desarrollo y aprendizaje de los alumnos",Aplicación,72.15,0.213,0.213,-0.074,-0.251,-0.139,2017,Ancla
16,569,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.3 Influencia del entorno en el logro de propósitos educativos,24664,SUB-SEC.05,"A partir de descripciones del entorno familiar y sociocultural, identificar las acciones que favorecen los procesos de desarrollo y aprendizaje de los alumnos",Aplicación,,,,,,,Piloto Fijo,Piloto Fijo
17,657,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.3 Influencia del entorno en el logro de propósitos educativos,24665,SUB-SEC.06,"A partir de ejemplos del contexto lingüístico, identificar el que favorece los procesos de desarrollo y aprendizaje de los alumnos",Comprensión,,,,,,,Nuevo,Nuevo
18,45,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.3 Influencia del entorno en el logro de propósitos educativos,24665,SUB-SEC.06,"A partir de ejemplos del contexto lingüístico, identificar el que favorece los procesos de desarrollo y aprendizaje de los alumnos",Comprensión,48.330,0.160,-0.167,-0.069,-0.147,0.16,2017,Ancla
19,672,1,RS,1. La escuela y el trabajo en el aula,1.1 Tarea fundamental de la escuela,1.1.3 Influencia del entorno en el logro de propósitos educativos,24665,SUB-SEC.06,"A partir de ejemplos del contexto lingüístico, identificar el que favorece los procesos de desarrollo y aprendizaje de los alumnos",Comprensión,,,,,,,Piloto Fijo,Piloto Fijo
20,511,1,RS,1. La escuela y el trabajo en el aula,1.2 Organización y funcionamiento de una escuela eficaz,1.2.1 Rasgos de escuelas eficaces,24666,SUB-SEC.07,"A partir de enunciados sobre las dimensiones de la gestión escolar, identificar aquellos que atienden el logro académico de los alumnos",Comprensión,,,,,,,Nuevo,Nuevo
21,514,1,RS,1. La escuela y el trabajo en el aula,1.2 Organización y funcionamiento de una escuela eficaz,1.2.1 Rasgos de escuelas eficaces,24666,SUB-SEC.07,"A partir de enunciados sobre las dimensiones de la gestión escolar, identificar aquellos que atienden el logro académico de los alumnos",Comprensión,,,,,,,Nuevo,Nuevo
22,473,1,RS,1. La escuela y el trabajo en el aula,1.2 Organización y funcionamiento de una escuela eficaz,1.2.1 Rasgos de escuelas eficaces,24666,SUB-SEC.07,"A partir de enunciados sobre las dimensiones de la gestión escolar, identificar aquellos que atienden el logro académico de los alumnos",Comprensión,34.46,0.186,-0.068,-0.083,-0.259,0.186,2017,Ancla
23,294,1,RS,1. La escuela y el trabajo en el aula,1.2 Organización y funcionamiento de una escuela eficaz,1.2.1 Rasgos de escuelas eficaces,24667,SUB-SEC.08,"A partir de características de las dimensiones de la gestión escolar, distinguir a cuál de ellas corresponden.",Conocimiento,51.42,0.161,-0.144,-0.108,0.161,-0.147,2017,Ancla
24,387,1,RS,1. La escuela y el trabajo en el aula,1.2 Organización y funcionamiento de una escuela eficaz,1.2.1 Rasgos de escuelas eficaces,24667,SUB-SEC.08,"A partir de características de las dimensiones de la gestión escolar, distinguir a cuál de ellas corresponden.",Conocimiento,88.81,0.252,-0.124,-0.13,-0.25,0.252,2017,Ancla
25,429,1,RS,1. La escuela y el trabajo en el aula,1.2 Organización y funcionamiento de una escuela eficaz,1.2.1 Rasgos de escuelas eficaces,24667,SUB-SEC.08,"A partir de características de las dimensiones de la gestión escolar, distinguir a cuál de ellas corresponden.",Conocimiento,84.24,0.203,-0.15,0.203,-0.205,-0.081,2017,Ancla
26,505,1,RS,1. La escuela y el trabajo en el aula,1.2 Organización y funcionamiento de una escuela eficaz,1.2.1 Rasgos de escuelas eficaces,24667,SUB-SEC.08,"A partir de características de las dimensiones de la gestión escolar, distinguir a cuál de ellas corresponden.",Conocimiento,,,,,,,Piloto Fijo,Piloto Fijo
27,523,1,RS,1. La escuela y el trabajo en el aula,1.2 Organización y funcionamiento de una escuela eficaz,1.2.2 Actividades formativas y uso del tiempo escolar,24668,SUB-SEC.09,"A partir de ejemplos del uso del tiempo escolar, seleccionar las actividades que tengan sentido formativo para los alumnos",Comprensión,,,,,,,Nuevo,Nuevo
28,683,1,RS,1. La escuela y el trabajo en el aula,1.2 Organización y funcionamiento de una escuela eficaz,1.2.2 Actividades formativas y uso del tiempo escolar,24668,SUB-SEC.09,"A partir de ejemplos del uso del tiempo escolar, seleccionar las actividades que tengan sentido formativo para los alumnos",Comprensión,,,,,,,Nuevo,Nuevo
29,165,1,RS,1. La escuela y el trabajo en el aula,1.2 Organización y funcionamiento de una escuela eficaz,1.2.2 Actividades formativas y uso del tiempo escolar,24668,SUB-SEC.09,"A partir de ejemplos del uso del tiempo escolar, seleccionar las actividades que tengan sentido formativo para los alumnos",Comprensión,53.56,0.25,-0.224,-0.143,-0.148,0.25,2017,Ancla
30,430,1,RS,1. La escuela y el trabajo en el aula,1.2 Organización y funcionamiento de una escuela eficaz,1.2.2 Actividades formativas y uso del tiempo escolar,24668,SUB-SEC.09,"A partir de ejemplos del uso del tiempo escolar, seleccionar las actividades que tengan sentido formativo para los alumnos",Comprensión,63.8,0.305,-0.301,0.305,-0.141,-0.142,2017,Ancla
31,497,1,RS,1. La escuela y el trabajo en el aula,1.3 El currículo y su relación con el aprendizaje,1.3.1 Procesos de aprendizaje y desarrollo del alumno,24669,SUB-SEC.10,"A partir de características sobre procesos de desarrollo, identificar los que corresponden a los alumnos de la educación secundaria.",Conocimiento,,,,,,,Nuevo,Nuevo
32,4,1,RS,1. La escuela y el trabajo en el aula,1.3 El currículo y su relación con el aprendizaje,1.3.1 Procesos de aprendizaje y desarrollo del alumno,24669,SUB-SEC.10,"A partir de características sobre procesos de desarrollo, identificar los que corresponden a los alumnos de la educación secundaria.",Conocimiento,59.27,0.223,-0.147,-0.236,0.223,-0.106,2017,Ancla
33,106,1,RS,1. La escuela y el trabajo en el aula,1.3 El currículo y su relación con el aprendizaje,1.3.1 Procesos de aprendizaje y desarrollo del alumno,24669,SUB-SEC.10,"A partir de características sobre procesos de desarrollo, identificar los que corresponden a los alumnos de la educación secundaria.",Conocimiento,29.89,0.158,-0.142,0.158,-0.142,-0.077,2017,Ancla
34,531,1,RS,1. La escuela y el trabajo en el aula,1.3 El currículo y su relación con el aprendizaje,1.3.1 Procesos de aprendizaje y desarrollo del alumno,24669,SUB-SEC.10,"A partir de características sobre procesos de desarrollo, identificar los que corresponden a los alumnos de la educación secundaria.",Conocimiento,,,,,,,Piloto Variable,Piloto Variable
35,187,1,RS,1. La escuela y el trabajo en el aula,1.3 El currículo y su relación con el aprendizaje,1.3.1 Procesos de aprendizaje y desarrollo del alumno,24670,SUB-SEC.11,"A partir de ejemplos de producciones de los alumnos, identificar los procesos de desarrollo y aprendizaje",Comprensión,41.420,0.219,-0.176,-0.171,-0.122,0.219,2017,Ancla
36,220,1,RS,1. La escuela y el trabajo en el aula,1.3 El currículo y su relación con el aprendizaje,1.3.1 Procesos de aprendizaje y desarrollo del alumno,24670,SUB-SEC.11,"A partir de ejemplos de producciones de los alumnos, identificar los procesos de desarrollo y aprendizaje",Comprensión,29.19,0.158,-0.104,-0.257,-0.017,0.158,2017,Ancla
37,371,1,RS,1. La escuela y el trabajo en el aula,1.3 El currículo y su relación con el aprendizaje,1.3.1 Procesos de aprendizaje y desarrollo del alumno,24670,SUB-SEC.11,"A partir de ejemplos de producciones de los alumnos, identificar los procesos de desarrollo y aprendizaje",Comprensión,37.250,0.271,-0.185,0.271,-0.152,-0.216,2017,Ancla
38,414,1,RS,1. La escuela y el trabajo en el aula,1.3 El currículo y su relación con el aprendizaje,1.3.1 Procesos de aprendizaje y desarrollo del alumno,24670,SUB-SEC.11,"A partir de ejemplos de producciones de los alumnos, identificar los procesos de desarrollo y aprendizaje",Comprensión,41.720,0.220,-0.188,0.22,-0.165,-0.194,2017,Ancla
39,613,1,RS,1. La escuela y el trabajo en el aula,1.3 El currículo y su relación con el aprendizaje,1.3.1 Procesos de aprendizaje y desarrollo del alumno,24670,SUB-SEC.11,"A partir de ejemplos de producciones de los alumnos, identificar los procesos de desarrollo y aprendizaje",Comprensión,,,,,,,Piloto Variable,Piloto Variable
40,434,1,RS,1. La escuela y el trabajo en el aula,1.3 El currículo y su relación con el aprendizaje,1.3.2 Organización del currículo,24671,SUB-SEC.12,"A partir de los contenidos del currículo de educación básica, distinguir los que corresponden a la educación secundaria.",Conocimiento,40.580,0.153,-0.198,-0.078,0.153,-0.09,2017,Ancla
41,166,1,RS,1. La escuela y el trabajo en el aula,1.3 El currículo y su relación con el aprendizaje,1.3.2 Organización del currículo,24671,SUB-SEC.12,"A partir de los contenidos del currículo de educación básica, distinguir los que corresponden a la educación secundaria.",Conocimiento,37.419,0.169,0.169,-0.141,-0.118,-0.187,2016,Específico
42,292,1,RS,1. La escuela y el trabajo en el aula,1.3 El currículo y su relación con el aprendizaje,1.3.2 Organización del currículo,24671,SUB-SEC.12,"A partir de los contenidos del currículo de educación básica, distinguir los que corresponden a la educación secundaria.",Conocimiento,45.729,0.155,0.155,-0.224,-0.057,-0.123,2016,Específico
43,508,1,RS,1. La escuela y el trabajo en el aula,1.3 El currículo y su relación con el aprendizaje,1.3.2 Organización del currículo,24672,SUB-SEC.13,"A partir de descripciones de contenidos, distinguir las que corresponden a la educación secundaria",Comprensión,,,,,,,Nuevo,Nuevo
44,114,1,RS,1. La escuela y el trabajo en el aula,1.3 El currículo y su relación con el aprendizaje,1.3.2 Organización del currículo,24672,SUB-SEC.13,"A partir de descripciones de contenidos, distinguir las que corresponden a la educación secundaria",Comprensión,58.980,0.255,-0.157,-0.195,-0.195,0.255,2017,Ancla
45,216,1,RS,1. La escuela y el trabajo en el aula,1.3 El currículo y su relación con el aprendizaje,1.3.2 Organización del currículo,24672,SUB-SEC.13,"A partir de descripciones de contenidos, distinguir las que corresponden a la educación secundaria",Comprensión,28.59,0.175,-0.108,0.175,-0.173,-0.074,2017,Ancla
46,536,1,RS,1. La escuela y el trabajo en el aula,1.3 El currículo y su relación con el aprendizaje,1.3.2 Organización del currículo,24672,SUB-SEC.13,"A partir de descripciones de contenidos, distinguir las que corresponden a la educación secundaria",Comprensión,,,,,,,Piloto Variable,Piloto Variable
47,84,1,RS,1. La escuela y el trabajo en el aula,1.3 El currículo y su relación con el aprendizaje,1.3.2 Organización del currículo,24673,SUB-SEC.14,"A partir de las características de los enfoques didácticos, identificar a la asignatura que corresponde.",Conocimiento,58.78,0.177,-0.09,-0.214,0.177,-0.142,2017,Ancla
48,85,1,RS,1. La escuela y el trabajo en el aula,1.3 El currículo y su relación con el aprendizaje,1.3.2 Organización del currículo,24673,SUB-SEC.14,"A partir de las características de los enfoques didácticos, identificar a la asignatura que corresponde.",Conocimiento,81.200,0.191,-0.215,-0.044,-0.146,0.191,2017,Ancla
