#,Clave reactivo,Sesión,Tipo de reactivo,Área,Subárea,Tema,ID especificación ,Clave de especificación,Definición operacional,Nivel taxonómico,(%) RES. COR.,CORRELACIÓN BIS. PUNT. (Pearson),RPBIS_OP1E,RPBIS_OP2E,RPBIS_OP3E,RPBIS_OP4E,Condición,Clasificación
1,1061,1,RS,1. Aspectos de la función,1.1 Procesos de desarrollo y aprendizaje de los alumnos,1.1.1 Características de los jóvenes de educación secundaria,23875,ENSE-SEC.01,"A partir de características de los alumnos de secundaria, identificar los retos a los que se puede enfrentar en su aprendizaje o desarrollo",Conocimiento,,,,,,,Nuevo,Nuevo
2,2082,1,RS,1. Aspectos de la función,1.1 Procesos de desarrollo y aprendizaje de los alumnos,1.1.1 Características de los jóvenes de educación secundaria,23875,ENSE-SEC.01,"A partir de características de los alumnos de secundaria, identificar los retos a los que se puede enfrentar en su aprendizaje o desarrollo",Conocimiento,,,,,,,Nuevo,Nuevo
3,2080,1,RS,1. Aspectos de la función,1.1 Procesos de desarrollo y aprendizaje de los alumnos,1.1.1 Características de los jóvenes de educación secundaria,23875,ENSE-SEC.01,"A partir de características de los alumnos de secundaria, identificar los retos a los que se puede enfrentar en su aprendizaje o desarrollo",Conocimiento,,,,,,,Piloto,Piloto
4,667,1,RS,1. Aspectos de la función,1.1 Procesos de desarrollo y aprendizaje de los alumnos,1.1.1 Características de los jóvenes de educación secundaria,23876,ENSE-SEC.02,"A partir de características de los alumnos de secundaria, identificar algunas acciones didácticas que motiven al adolescente a participar o autorregular su proceso de aprendizaje",Comprensión,62.26,0.222,-0.333,0.222,-0.165,-0.052,2017,Ancla
5,1094,1,RS,1. Aspectos de la función,1.1 Procesos de desarrollo y aprendizaje de los alumnos,1.1.1 Características de los jóvenes de educación secundaria,23876,ENSE-SEC.02,"A partir de características de los alumnos de secundaria, identificar algunas acciones didácticas que motiven al adolescente a participar o autorregular su proceso de aprendizaje",Comprensión,,,,,,,Nuevo,Nuevo
6,1794,1,RS,1. Aspectos de la función,1.1 Procesos de desarrollo y aprendizaje de los alumnos,1.1.1 Características de los jóvenes de educación secundaria,23876,ENSE-SEC.02,"A partir de características de los alumnos de secundaria, identificar algunas acciones didácticas que motiven al adolescente a participar o autorregular su proceso de aprendizaje",Comprensión,,,,,,,Piloto,Piloto
7,681,1,RS,1. Aspectos de la función,1.1 Procesos de desarrollo y aprendizaje de los alumnos,1.1.2 Procesos de desarrollo de los adolescentes,23877,ENSE-SEC.03,"A partir de estrategias de aprendizaje, seleccionar las que favorecen el desarrollo del pensamiento de los alumnos",Comprensión,48.317,0.168,-0.104,-0.168,0.168,-0.187,2017,Ancla
8,514,1,RS,1. Aspectos de la función,1.1 Procesos de desarrollo y aprendizaje de los alumnos,1.1.2 Procesos de desarrollo de los adolescentes,23877,ENSE-SEC.03,"A partir de estrategias de aprendizaje, seleccionar las que favorecen el desarrollo del pensamiento de los alumnos",Comprensión,70.192,0.279,-0.136,0.279,-0.251,-0.28,2017,Ancla
9,1266,1,RS,1. Aspectos de la función,1.1 Procesos de desarrollo y aprendizaje de los alumnos,1.1.2 Procesos de desarrollo de los adolescentes,23877,ENSE-SEC.03,"A partir de estrategias de aprendizaje, seleccionar las que favorecen el desarrollo del pensamiento de los alumnos",Comprensión,,,,,,,Piloto,Piloto
10,819,1,RS,1. Aspectos de la función,1.1 Procesos de desarrollo y aprendizaje de los alumnos,"1.1.3 Entornos familiar, social y cultural en el desarrollo de los adolescentes",23878,ENSE-SEC.04,"A partir de situaciones relacionadas con el aprendizaje de los adolescentes, identificar la influencia de los entornos familiar, social o cultural en su desarrollo",Conocimiento,47.596,0.313,-0.116,-0.392,-0.08,0.313,2017,Ancla
