#,Clave reactivo,Sesión,Tipo de reactivo,Área,Subárea,Tema,ID especificación ,Clave de especificación,Definición operacional,Nivel taxonómico,(%) RES. COR.,CORRELACIÓN BIS. PUNT. (Pearson),RPBIS_OP1E,RPBIS_OP2E,RPBIS_OP3E,RPBIS_OP4E,Condición,Clasificación,,,,,,
1,148,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo del lenguaje oral,23380,ATP-LENGUA-PRE.01,"A partir de la descripción de etapas de aprendizaje del proceso escrito, identificar a cuál de ellas corresponde.",Conocimiento,76.820,0.332,-0.232,0.332,-0.233,-0.209,2017,Ancla,,,,,,
2,437,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo del lenguaje oral,23380,ATP-LENGUA-PRE.01,"A partir de la descripción de etapas de aprendizaje del proceso escrito, identificar a cuál de ellas corresponde.",Conocimiento,46.350,0.204,-0.157,-0.250,0.204,-0.092,2017,Ancla,,,,,,
3,10,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo del lenguaje oral,23381,ATP-LENGUA-PRE.02,"A partir de una situación didáctica, identificar etapas del proceso de aprendizaje de la escritura o condiciones que favorecen el lenguaje oral",Comprensión,65.450,0.229,-0.211,-0.092,0.229,-0.229,2017,Ancla,,,,,,
4,179,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.1 Desarrollo del lenguaje oral,23381,ATP-LENGUA-PRE.02,"A partir de una situación didáctica, identificar etapas del proceso de aprendizaje de la escritura o condiciones que favorecen el lenguaje oral",Comprensión,54.080,0.276,-0.126,-0.294,-0.208,0.276,2017,Ancla,,,,,,
5,5,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.2 Cultura escrita,23382,ATP-LENGUA-PRE.03,"A partir de situaciones cotidianas en el uso del lenguaje oral, identificar las que favorecen el desarrollo del lenguaje escrito",Comprensión,60.520,0.261,-0.291,0.261,-0.190,-0.086,2017,Ancla,,,,,,
6,454,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.2 Cultura escrita,23382,ATP-LENGUA-PRE.03,"A partir de situaciones cotidianas en el uso del lenguaje oral, identificar las que favorecen el desarrollo del lenguaje escrito",Comprensión,83.260,0.384,-0.212,0.384,-0.303,-0.186,2017,Ancla,,,,,,
7,62,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.2 Cultura escrita,23383,ATP-LENGUA-PRE.04,"A partir de situaciones orales en el aula, identificar los propósitos funcionales centrales del lenguaje escrito.",Conocimiento,62.880,0.270,0.270,-0.212,-0.067,-0.260,2017,Ancla,,,,,,
8,478,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,1.1.2 Cultura escrita,23383,ATP-LENGUA-PRE.04,"A partir de situaciones orales en el aula, identificar los propósitos funcionales centrales del lenguaje escrito.",Conocimiento,81.760,0.207,-0.170,0.207,-0.122,-0.158,2017,Ancla,,,,,,
9,110,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,"1.1.3 Influencia de los entornos familiar, social y cultural",23384,ATP-LENGUA-PRE.05,"A partir de situaciones para el aprendizaje del lenguaje oral o escrito, identificar las que toman en cuenta la influencia del entorno cultural.",Comprensión,82.190,0.314,-0.149,0.314,-0.187,-0.292,2017,Ancla,,,,,,
10,464,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,"1.1.3 Influencia de los entornos familiar, social y cultural",23384,ATP-LENGUA-PRE.05,"A partir de situaciones para el aprendizaje del lenguaje oral o escrito, identificar las que toman en cuenta la influencia del entorno cultural.",Comprensión,85.620,0.331,-0.119,0.331,-0.334,-0.155,2017,Ancla,,,,,,
11,613,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,"1.1.3 Influencia de los entornos familiar, social y cultural",23385,ATP-LENGUA-PRE.06,"A partir de situaciones didácticas de aprendizaje del lenguaje oral o la cultura escrita, identificar la estrategia que considera la influencia de los entornos familiar, cultural o social",Aplicación,,,,,,,Nuevo ,Nuevo ,,,,,,
12,624,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,"1.1.3 Influencia de los entornos familiar, social y cultural",23385,ATP-LENGUA-PRE.06,"A partir de situaciones didácticas de aprendizaje del lenguaje oral o la cultura escrita, identificar la estrategia que considera la influencia de los entornos familiar, cultural o social",Aplicación,,,,,,,Nuevo ,Nuevo ,,,,,,
13,697,1,RS,1. Dominio pedagógico,1.1 Procesos de aprendizaje,"1.1.3 Influencia de los entornos familiar, social y cultural",23385,ATP-LENGUA-PRE.06,"A partir de situaciones didácticas de aprendizaje del lenguaje oral o la cultura escrita, identificar la estrategia que considera la influencia de los entornos familiar, cultural o social",Aplicación,,,,,,,"Piloto
Variable","Piloto
Variable",,,,,,
14,507,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.1 Propósitos,23386,ATP-LENGUA-PRE.07,"A partir de propósitos de la educación preescolar, identificar los que corresponden a la cultura escrita",Conocimiento,,,,,,,Nuevo ,Nuevo ,,,,,,
15,161,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.1 Propósitos,23386,ATP-LENGUA-PRE.07,"A partir de propósitos de la educación preescolar, identificar los que corresponden a la cultura escrita",Conocimiento,75.540,0.201,0.201,-0.094,-0.237,-0.120,2017,Ancla,,,,,,
16,558,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.1 Propósitos,23386,ATP-LENGUA-PRE.07,"A partir de propósitos de la educación preescolar, identificar los que corresponden a la cultura escrita",Conocimiento,,,,,,,"Piloto
Variable","Piloto
Variable",,,,,,
17,526,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.1 Propósitos,23387,ATP-LENGUA-PRE.08,"A partir de una situación didáctica, identificar las acciones que fortalecen los propósitos de la educación preescolar relacionados con el lenguaje oral",Comprensión,,,,,,,Nuevo ,Nuevo ,,,,,,
18,31,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.1 Propósitos,23387,ATP-LENGUA-PRE.08,"A partir de una situación didáctica, identificar las acciones que fortalecen los propósitos de la educación preescolar relacionados con el lenguaje oral",Comprensión,82.620,0.260,-0.063,-0.249,-0.167,0.260,2017,Ancla,,,,,,
19,208,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.1 Propósitos,23387,ATP-LENGUA-PRE.08,"A partir de una situación didáctica, identificar las acciones que fortalecen los propósitos de la educación preescolar relacionados con el lenguaje oral",Comprensión,74.890,0.230,0.230,-0.238,-0.190,-0.071,2017,Ancla,,,,,,
20,162,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.2 Contenidos,23388,ATP-LENGUA-PRE.09,"A partir de una situación didáctica, identificar los componentes del campo formativo Lenguaje y Comunicación",Comprensión,69.530,0.287,-0.262,0.287,-0.164,-0.170,2017,Ancla,,,,,,
21,453,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.2 Contenidos,23388,ATP-LENGUA-PRE.09,"A partir de una situación didáctica, identificar los componentes del campo formativo Lenguaje y Comunicación",Comprensión,48.500,0.168,-0.115,0.168,-0.214,-0.095,2017,Ancla,,,,,,
22,384,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.2 Contenidos,23388,ATP-LENGUA-PRE.09,"A partir de una situación didáctica, identificar los componentes del campo formativo Lenguaje y Comunicación",Comprensión,72.96,0.285,0.000,0.000,0.000,0.000,2017,Ancla,,,,,,
23,13,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.2 Contenidos,23389,ATP-LENGUA-PRE.10,"A partir de competencias de los campos formativos, identificar las que corresponden a Lenguaje y Comunicación",Conocimiento,49.360,0.268,-0.189,-0.236,0.268,-0.254,2017,Ancla,,,,,,
24,443,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.2 Contenidos,23389,ATP-LENGUA-PRE.10,"A partir de competencias de los campos formativos, identificar las que corresponden a Lenguaje y Comunicación",Conocimiento,71.240,0.156,-0.171,0.156,-0.120,-0.113,2017,Ancla,,,,,,
25,719,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.1 Enfoque,23390,ATP-LENGUA-PRE.11,"A partir de una situación de aprendizaje, identificar las acciones que fortalecen la relación entre lenguaje oral y lenguaje escrito",Comprensión,,,,,,,Nuevo ,Nuevo ,,,,,,
26,315,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.1 Enfoque,23390,ATP-LENGUA-PRE.11,"A partir de una situación de aprendizaje, identificar las acciones que fortalecen la relación entre lenguaje oral y lenguaje escrito",Comprensión,37.550,0.175,-0.065,0.175,-0.191,-0.140,2017,Ancla,,,,,,
27,720,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.1 Enfoque,23390,ATP-LENGUA-PRE.11,"A partir de una situación de aprendizaje, identificar las acciones que fortalecen la relación entre lenguaje oral y lenguaje escrito",Comprensión,,,,,,,"Piloto
Variable","Piloto
Variable",,,,,,
28,496,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.1 Enfoque,51951,ATP-LENGUA-PRE.12.A,"A partir de enunciados, identificar las características de las situaciones didácticas que permiten fortalecer el desarrollo de la oralidad o de la cultura escrita en Educación Preescolar.",Conocimiento,,,,,,,Nuevo ,Nuevo ,,,,,,
29,570,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.1 Enfoque,51951,ATP-LENGUA-PRE.12.A,"A partir de enunciados, identificar las características de las situaciones didácticas que permiten fortalecer el desarrollo de la oralidad o de la cultura escrita en Educación Preescolar.",Conocimiento,,,,,,,Nuevo ,Nuevo ,,,,,,
30,723,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.1 Enfoque,51951,ATP-LENGUA-PRE.12.A,"A partir de enunciados, identificar las características de las situaciones didácticas que permiten fortalecer el desarrollo de la oralidad o de la cultura escrita en Educación Preescolar.",Conocimiento,,,,,,,"Piloto
Fijo","Piloto
Fijo",,,,,,
31,607,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.2 Prácticas docentes,51955,ATP-LENGUA-PRE.13.A,"A partir de una situación didáctica, identificar las características de las prácticas docentes que favorecen el desarrollo de la oralidad o de la escritura en Educación Preescolar",Comprensión,,,,,,,Nuevo ,Nuevo ,,,,,,
32,631,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.2 Prácticas docentes,51955,ATP-LENGUA-PRE.13.A,"A partir de una situación didáctica, identificar las características de las prácticas docentes que favorecen el desarrollo de la oralidad o de la escritura en Educación Preescolar",Comprensión,,,,,,,Nuevo ,Nuevo ,,,,,,
33,662,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.2 Prácticas docentes,51955,ATP-LENGUA-PRE.13.A,"A partir de una situación didáctica, identificar las características de las prácticas docentes que favorecen el desarrollo de la oralidad o de la escritura en Educación Preescolar",Comprensión,,,,,,,"Piloto
Fijo","Piloto
Fijo",,,,,,
