TITLE='Kathy Trundle Geology Test Subset of Test Items'                            
;
;A title which appears on each page
;
; Reading the data, a 11 col name ID is read then 26 items skiped, then 22 items read in.
; Each item answer is seperated by a comma. 
;
FORMAT=(11A1,26(1X,1x),22(1A1,1X))
; 
; The answer key for the test
;
KEY1="1334141221342344313221"
; The first item answer is the 12th piece of information read in and used by Winsteps
;
ITEM1=12
; 22 content items
 NI=22
;The person ID starts in the 1st col of data
;
 NAME1=1
; The person ID is a total of 11 columns wide
 NAMLEN=11
; This is the line that is important for our work in this chapter
; This line is saying the numbers 1, 2, 3, and 4 and the letter K will be used to grade items
; Against the key
;
CODES="12345dk"
; Each answer is one column wide
 XWIDE=1
; 
;
; 
;
*
&END
Q27
Q28
Q29
Q30
Q31
Q32
Q33
Q34
Q35
Q36
Q37
Q38
Q39
Q40
Q41
Q42
Q43
Q44
Q45
Q46
Q47
Q48
END NAMES
1762354xxx,1,1,1,4,1,4,1,3,1,4,4,2,2,3,3,3,4,1,2,4,1,2,2,3,2,1,1,4,3,4,1,4,3,2,5,4,3,4,5,1,3,k,k,k,k,k,k,k,,k,k,k
2459395xxx,1,2,1,4,1,1,3,3,1,2,2,3,4,1,3,1,4,2,2,1,1,3,3,3,2,2,1,4,3,4,1,4,3,3,5,5,3,4,4,2,2,4,3,4,3,2,2,1,,2,2,1
3752190xxx,2,1,1,4,2,4,4,3,1,1,4,3,2,4,4,3,4,k,1,3,1,3,3,3,2,1,1,3,3,4,1,4,4,2,2,5,3,4,2,1,4,4,1,2,3,1,2,k,,k,k,k
3982089xxx,1,2,1,4,2,1,3,3,1,2,2,1,2,1,3,3,1,1,2,2,1,1,2,3,2,1,3,4,3,4,2,4,3,4,1,5,3,5,5,1,4,3,3,4,2,2,2,2,,2,1,1
4532169470,1,1,1,2,2,4,2,3,2,2,2,3,4,1,3,3,4,1,2,4,1,1,1,3,2,1,3,4,3,4,2,4,3,4,5,4,3,4,2,1,2,2,2,1,4,2,2,1,,2,2,1
1462974xxx,1,2,1,4,2,4,1,3,1,2,4,2,1,4,3,3,4,1,4,1,1,3,4,3,2,2,3,3,3,1,1,4,3,2,4,1,3,4,4,3,4,4,1,4,3,3,3,1,,2,2,1
8745144xxx,1,2,1,1,2,4,2,2,1,3,4,1,4,4,3,1,4,4,1,4,1,2,3,3,2,2,1,1,3,4,1,4,3,3,5,1,3,4,2,1,4,4,1,3,3,4,2,2,,2,2,1
4618142xxx,2,2,1,2,2,1,2,3,1,4,3,4,4,3,3,2,4,3,3,1,1,3,4,3,2,2,1,4,3,3,2,4,3,1,2,5,2,4,4,1,3,3,2,1,k,k,k,k,,k,k,k
1524035385,1,1,1,1,2,1,1,3,1,4,2,4,1,1,3,3,4,4,2,2,1,3,2,3,2,2,1,1,3,4,2,4,4,2,5,4,3,4,2,1,4,2,3,4,3,3,2,1,,2,2,1
4621774xxx,1,2,1,3,2,4,2,3,1,4,4,4,1,3,3,3,4,1,3,3,1,2,1,3,2,2,1,3,3,4,2,4,3,2,2,1,2,4,2,1,3,4,3,4,3,1,2,1,,1,2,1
