Entidad,SAP,Equipos por sede,Número de Salas,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,Nombre Sede,Dirección,Observaciones,cumple_ancho_banda,ancho_banda,navegador,circuito_TV,ALÁMBRICA_WIFI,SÍstema_operativo,hardware,velocidad_carga,velocidad_descarga,latencia_carga,latencia_descarga
Baja California,02008,66,2,37,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CETMAR No. 11,"CARR. ENSENADA-TIJUANA KM 6.5 S/N, EL SAUZAL DE RODRÍGUEZ, C.P. 22800, ENSENADA, B.C.",,SÍ,100 Mb,SÍ,No,AMBAS,Sí,Sí,17 Mbps ,180 Mbps,6 ms,4ms
Baja California,02009,94,2,47,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLEGIO DE BACHILLERES PLANTEL BAJA CALIFORNIA,"CALLE H. COLEGIO MILITAR S/N, COL. ORIZABA, C.P. 21179, MEXICALI, B.C.",,SÍ,200 Mb,SÍ,NO,WIFI,Sí,Sí,20 Mbps,190 Mbps,6 ms,4 ms
Baja California,02010,76,2,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLEGIO DE BACHILLERES PLANTEL ENSENADA,"AV. ADOLFO LÓPEZ MATEOS No. 1838, ZONA CENTRO, C.P. 22800, ENSENADA, B.C.",,SÍ,200 Mb,SÍ,No,ALÁMBRICA,Sí,Sí,11 Mbps,130 Mbps,11 ms,4 ms
Baja California,02011,94,2,47,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLEGIO DE BACHILLERES PLANTEL LA MESA,"AV. CRISANTEMOS S/N, FRACC. JARDINES DE LA MESA, C.P. 22680, TIJUANA, B.C.",,SÍ,200 Mb,SÍ,No,ALÁMBRICA,Sí,Sí,18 Mbps,180 Mbps,12 ms,8 ms
Baja California,02012,69,2,33,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLEGIO DE BACHILLERES PLANTEL MEXICALI,"AV. ZARAGOZA No. 2045, COL. NUEVA, C.P. 21100, MEXICALI, B.C.",,SÍ,200 Mb,SÍ,No,ALÁMBRICA,Sí,Sí,20 Mbps,200 Mbps,7 ms,5 ms
Baja California,02013,86,2,43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLEGIO DE BACHILLERES PLANTEL MIGUEL HIDALGO Y COSTILLA,"CALZ. DE LOS PRESIDENTES No. 1650, COL. RÍO NUEVO, C.P. 21356, MEXICALI, B.C.",,SÍ,200 Mb,SÍ,NO,WIFI,Sí,Sí,16 Mbps,95 Mbps,33 ms,5 ms
Baja California,02014,86,2,43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLEGIO DE BACHILLERES PLANTEL MTRO. RÚBEN VIZCAINO VALENCIA,"BLVD. VÍA RÁPIDA PONIENTE No. 1125, ZONA DEL RÍO, C.P. 22400, TIJUANA, B.C.",,SÍ,200 Mb,SÍ,No,ALÁMBRICA,Sí,Sí,19 Mbps,195 Mbps,6.5 ms,5 ms
Baja California,02015,96,2,48,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLEGIO DE BACHILLERES PLANTEL NUEVA TIJUANA,"BLVD. VALLES Y PASEO DEL RÍO S/N, ZONA URBANA RÍO TIJUANA 3ra. ETAPA, C.P. 22150, TIJUANA, B.C.",,SÍ,200 Mb,SÍ,No,ALÁMBRICA,Sí,Sí,18 Mbps,180 Mbps,5 ms,4 ms
Baja California,02016,38,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLEGIO DE BACHILLERES PLANTEL PRIMER AYUNTAMIENTO PLAYAS DE ROSARITO,"AV. EMILIANO ZAPATA S/N, COL. PLAN DE SAN LUIS Y AMPLIACIÓN REFORMA, C.P. 22710, PLAYAS DE ROSARITO, B.C.",,SÍ,100 Mb,SÍ,No,ALÁMBRICA,Sí,Sí,9 Mbps,100 Mbps,27 ms,9 ms
Baja California,02017,78,2,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLEGIO DE BACHILLERES PLANTEL SAN QUINTÍN,"AV. LAS ESCOBAS No. 100, VALLE DE SAN QUINTÍN, C.P. 22930, ENSENADA, B.C.",,SÍ,20 Mb,SÍ,No,ALÁMBRICA,Sí,Sí,18 Mbps,17.99 Mbps,24 ms,24 ms
Baja California,02018,33,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS PLANTEL COMPUERTAS,"CALLE CLARIDAD S/N, COL. PLUTARCO ELÍAS CALLES, DELEG. GONZÁLEZ ORTEGA, C.P. 21378, MEXICALI, B.C.",,SÍ,22 Mb,SÍ,SÍ,SÍ,Sí,Sí,100 Mbps,30 Mbps,111 ms,6 ms
Baja California,02019,73,2,39,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS PLANTEL ENSENADA,"EJE HIGUERAS Y GOLFO DE SANTA CLARA S/N, COL. POPULAR 89, C.P. 22810, ENSENADA, B.C.",,SÍ,30 Mb,SÍ,No,ALÁMBRICA,Sí,Sí,30 Mbps,12 Mbps,10ms,92ms
Baja California,02020,38,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS PLANTEL EL FLORIDO,"BLVD. EL REFUGIO Y NECTARINAS S/N, FRACC. LAS ABEJAS, C.P. 22245, TIJUANA, B.C.",,SÍ,60 Mb,SÍ,No,Ambas,Sí,Sí,50 Mbps,60 Mbps,3 ms,6 ms
Baja California,02021,38,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS PLANTEL XOCHIMILCO,"BLVD. LOMBARDO TOLEDANO Y LAGUNA XOCHIMILCO S/N, FRACC. XOCHIMILCO, C.P. 22810, MEXICALI, B.C.",,SÍ,8 Mb,SÍ,No,SÍ,SÍ,SÍ ,8 Mgps,1 Mbps,1ms,64
Baja California,02022,39,1,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS PLANTEL ZONA RÍO,"AV. PASEO DEL RÍO No. 6652, DESARROLLO URBANO RÍO TIJUANA 3ra. ETAPA, C.P. 22226, TIJUANA, B.C.",,SÍ,13 Mb,SÍ,No,ALÁMBRICA,Sí,Sí,24 Mbps,31 Mbps,49 ms,48 ms
Baja California,02023,68,2,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS PLANTEL VILLAS DEL SOL,"CALLE PRIVADA PASEO DEL SOL S/N, FRACC. VILLAS DEL SOL, C.P. 22205, TIJUANA, B.C.",,SÍ,55 Mb,SÍ,No,ALÁMBRICA7 WIFI 7 AMBAS,Sí,Sí,50 Mbps,50 Mbps,45 ms,21 ms
Baja California,02024,40,2,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CONALEP No. 64 ""ENSENADA""","AV. GRANITO No. 408, COL. CARLOS PACHECO, PUNTA BANDA, C.P. 22890, ENSENADA, B.C.",,SÍ,100 Mb,SÍ,No,ALÁMBRICA,Sí,Sí,97 Mbps,97 Mbps,123 ms,4 ms
Baja California,02025,52,2,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESCUELA NORMAL EXPERIMENTAL PROFR. GREGORÍO TORRES QUINTERO (SAN QUINTÍN),"DANIEL QUINTERO  ENTRE VENECIA Y CALLE TERCERA No. 551, EJIDO RAÚL SÁNCHEZ DÍAZ VALLE DE SAN QUINTÍN, C.P. 22930, ENSENADA, B.C.",,SÍ,8 Mb,SÍ,No,ALÁMBRICA,Sí,Sí,1.5 Mbps,8 Mbps,8ms,1.3 ms
Baja California,02026,68,2,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESCUELA NORMAL FRONTERIZA TIJUANA,"BLVD. VALLES ENTRE BLVD. DEL RÍO Y VÍA RÁPIDA ORIENTE S/N, ZONA RÍO 3ra. ETAPA, C.P. 22226, TIJUANA, B.C.",,SÍ,500 Mbps / 50 Mbps,SÍ,SÍ,Ambas,SÍ,SÍ,48 Mbps,390 Mbps,27 ms,3 ms
Baja California,02028,92,3,29,29,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO TECNOLÓGICO DE MEXICALI,"AV. TECNOLÓGICO S/N, COL. PLUTARCO ELÍAS CALLES, C.P. 21376, MEXICALI, B.C.",,SÍ,150Mb,SÍ,SÍ,AMBAS,SÍ,SÍ,150Mb,150Mb,38ms,38ms
Baja California,02029,209,6,55,39,39,31,23,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO TECNOLÓGICO DE TIJUANA,"BLVD. INDUSTRIAL Y AV. ITR S/N, MESA DE OTAY, C.P. 22500, TIJUANA, B.C.",,SÍ,150 Mb,SÍ,No,ALÁMBRICA,SÍ,SÍ,800 Mbps,500 Mbps,5 ms,5ms
Baja California,02030,116,4,30,30,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSIDAD POLITÉCNICA DE BAJA CALIFORNIA,"CALLE DE LA CLARIDAD S/N, COL. PLUTARCO ELÍAS CALLES, C.P. 21376, MEXICALI, B.C.",,SÍ,100 Mb,SÍ,SÍ,Ambas,SÍ,SÍ,95 Mbps,110 Mbps,25 ms,9 ms
Baja California,02031,342,12,30,25,26,27,25,32,30,30,30,30,30,27,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSIDAD TECNOLÓGICA DE TIJUANA,"CARR. LIBRE TIJUANA-TECATE KM 10 S/N, FRACC. EL REFUGIO QUINTAS CAMPESTRE, C.P. 22253, TIJUANA, B.C.",,SÍ,30 Mb,SÍ,No,Ambas,Sí,Sí,1.7 Mbps,29 Mbps,45 ms,11 Ms
Baja California,02032,66,2,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLEGIO DE BACHILLERES PLANTEL TECATE,"CALLE VENUSTIANO CARRANZA No. 10, ZONA CENTRO, C.P. 21400, TECATE, B.C.",,SÍ,100 Mb,SÍ,No,ALÁMBRICA,Sí,Sí,20 Mbps,20 Mbps,6 ms,6 ms
Baja California,02033,84,2,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLEGIO DE BACHILLERES PLANTEL TIJUANA SIGLO XXI,"AV. AGUA AZUL No. 6811, FRACC. LOMA BONITA, C.P. 22604, TIJUANA, B.C.",,SÍ,100 Mb,SÍ,SÍ,ALÁMBRICA,Sí,Sí,20 Mbps,80 Mbps,13 ms,2 ms
Baja California,02034,144,3,48,48,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PREPARATORIA FEDERAL LÁZARO CÁRDENAS ,"AV. PASEO DE LOS HÉROES No. 11161, ZONA RÍO, C.P. 22320, TIJUANA, B.C.",,SÍ,460 Mb,SÍ,No,ALÁMBRICA/WIFI EN SEGMENTOS,Sí,Sí,440 Mbps,37 Mbps,1 ms,1 ms
Baja California,02035,62,2,35,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS PLANTEL LOS PINOS,"PROL. RÍO MAYO ESQ. CON LUIS MORA No. 501, COL. PRO-HOGAR, C.P. 21240, MEXICALI, B.C.",,SÍ,40 Mb,SÍ,No,SÍ,Sí,Sí,"8,3 Mbps",92 Mbps,98 ms,6 ms
Baja California,02036,27,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS PLANTEL SAN QUINTIN,"AV. EMILIANO ZAPATA PARCELA 16 LOTE 1  S/N, COL. EJIDO NUEVO BAJA CALIFORNIA, VALLE DE SAN QUINTÍN, C.P. 22930, ENSENADA, B.C.",Mala calidad de Internet,NO,2 Mb,SÍ,No,ALÁMBRICA,Sí,Sí,67 Kbps,2 Mbps,2 ms,436 ms
Baja California Sur,03001,60,2,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BENEMÉRITA ESCUELA NORMAL URBANA PROFR. DOMINGO CARBALLO FÉLIX,"FELIX ORTEGA Y NORMAL S/N, COL. CENTRO, C.P. 23000, LA PAZ, B.C.S.",,,200Mbps,SÍ,NO,SI ALÁMBRICA,SÍ,SÍ,200 Mbps,200 Mbps,49 ms,49 ms
Baja California Sur,03006,22,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C.R.E.N. DE LORETO PROFR. MARCELO RUBIO RUIZ,"CALLE SALVATIERRA S/N, COL. CENTRO, C.P. 23880, LORETO, B.C.S.",,,10Mbps,SÍ,NO,SI ALÁMBRICA,SÍ,SÍ,10 Mbps,10 Mbps,20 ms,20 ms
Baja California Sur,03007,91,3,40,30,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO TECNOLÓGICO DE ESTUDIOS SUPERIORES DE LOS CABOS,"BLVD. TECNOLÓGICO ESQ. CON GANDHI S/N, COL. GUAYMITAS, C.P. 23483, LOS CABOS, B.C.S.",,,20Mbps,SÍ,NO,SI ALÁMBRICA/INALÁMBRICA,SÍ,SÍ,20 Mbps,1 Mbps,63 ms,63 ms
Baja California Sur,03008,56,2,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO TECNOLÓGICO SUPERIOR DE CD. CONSTITUCIÓN,"PROFR. MARCELO RUBIO RUÍZ S/N, COL. AMPLIACIÓN 4 DE MARZO, C.P. 23641, COMONDÚ, B.C.S.",,,50Mbps,SÍ,NO,SI ALÁMBRICA,SÍ,SÍ,17 Mbps,17 Mbps,19 ms,19 ms
Baja California Sur,03009,64,2,34,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO TECNOLÓGICO SUPERIOR DE MULEGÉ,"LOMA DE LOS FRAILES S/N, LOC. SANTA ROSALÍA, C.P. 23920, MULEGÉ, B.C.S.",,,30Mbps,SÍ,NO,SI ALÁMBRICA,SÍ,SÍ,30 Mbps,30 Mbps,70 ms,70 ms
Baja California Sur,03010,60,2,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO TECNOLÓGICO DE LA PAZ,"BLVD. FORJADORES No. 4720, COL. 8 DE OCTUBRE 2da. SECCIÓN, C.P. 23080, LA PAZ, B.C.S.",,,200Mbps,SÍ,NO,SI ALÁMBRICA,SÍ,SÍ,100 Mbps,100 Mbps,61 ms,61 ms
Baja California Sur,03011,76,1,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSIDAD AUTÓNOMA DE BAJA CALIFORNIA SUR,"CARR. AL SUR KM 5.0, APDO. POSTAL 19-B S/N, EL CALANDRIO, C.P. 23080, LA PAZ, B.C.S.",,,450Mbps,SÍ,NO,SI ALÁMBRICA/INALÁMBRICA,SÍ,SÍ,98 Mbps,98 Mbps,1 ms,1 ms
Baja California Sur,03012,72,2,42,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLEGIO DE BACHILLERES PLANTEL 11,"PROL. DURANGO ENTRE BLVRD. COLOSIO Y AGRICULTURA S/N, COL. INFONAVIT, C.P. 23070, LA PAZ, B.C.S.",,,200Mbps,SÍ,NO,SI ALÁMBRICA,SÍ,SÍ,200 Mbps,200 Mbps,19 ms,19 ms
Campeche,04001,132,5,36,21,29,24,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONALEP PLANTEL LIC. GUILLERMO GONZÁLEZ GALERA,"AV. MAESTROS CAMPECHANOS S/N, COL. MULTUCHAC, C.P. 24095, CAMPECHE, CAMP.",Será utilizada como alterna,SÍ,41 mbps,SÍ,NO,ALÁMBRICA,SÍ,SÍ,35 mbps,41 mbps,7 ms,16 ms
Campeche,04002,280,4,80,80,75,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CENTRO DE EVALUACIÓN Y FORMACIÓN DOCENTE DEL ESTADO DE CAMPECHE,"AV. MAESTROS CAMPECHANOS S/N, COL. SASCALUM, C.P. 24095, CAMPECHE, CAMP.",Sede ,SÍ,75 mbps,SÍ,NO,AMBAS,SÍ,SÍ,79 mbps,95 mbps,5 ms,13 ms
Coahuila,05001,50,2,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BENEMÉRITA ESCUELA NORMAL DE COAHUILA,"CALZ. DE LOS MAESTROS No. 858, ZONA CENTRO, C.P. 25000, SALTILLO, COAH.",,SÍ,90MB,SÍ,NO,ALAMBRICA,SÍ,SÍ,20MBPS,90MBPS,197MS,197MS
Coahuila,05002,40,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBTIS No. 36,"COLIMA (ZACATECAS Y MONTECARLO) S/N, COL. EL CHAMIZAL, C.P. 25720, MONCLOVA, COAH.",,SÍ,50MBPS,SÍ,NO APLICA,ALAMBRICA,SÍ,SÍ,5MBPS,50MBPS,1MS,1MS
Coahuila,05003,38,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBTIS No. 235,"CALLE 20 S/N, COL. AMPLIACIÓN MORELOS, C.P. 25017, SALTILLO, COAH.",,SÍ,52MBS,SÍ,SÍ,ALAMBRICA,SÍ,SÍ,20 mbps,52mbps,111 ms,7 ms
Coahuila,05004,48,1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CETIS No. 48,"MZ. 45 S/N, COL. MAGISTERIAL ESTATAL SECCIÓN 38, C.P. 25294, SALTILLO, COAH.",,SÍ,100MBS,NO,NO,ALAMBRICA,SÍ,SÍ,80MB,100MB,448MS,14MS
Coahuila,05005,50,2,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CETIS No. 83,"CARR. TORREÓN-SAN PEDRO No. 243, COL. CD. INDUSTRIAL, C.P. 27019, TORREÓN, COAH.",,SÍ,80MBS,SÍ,NO,ALAMBRICA,SÍ,SÍ,"80,34MBPS","62,8MBPS",249MS,249MS
Coahuila,05006,30,2,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONALEP No. 216,"CALZ. JOSÉ VASCONCELOS S/N, COL. LA MERCED II, C.P. 27276, TORREÓN, COAH.",,SÍ,30MB,SÍ,NO,ALAMBRICA,SÍ,SÍ,3MBPS,25MBPS,42MS,47MS
Coahuila,05007,35,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONALEP No. 217,"BLVD. MIGUEL HIDALGO S/N, COL. MIGUEL HIDALGO, C.P. 25096, SALTILLO, COAH.",,SÍ,100MBPS,SÍ,NO,ALAMBRICA,SÍ,SÍ,85MBPS,95MBPS,49MS,48MS
Coahuila,05008,61,2,37,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONALEP No. 292,"CARR. 30 No. 98, COL. AVIACIÓN, C.P. 25617, FRONTERA, COAH.",,SÍ,10MB,SÍ,NO,ALAMBRICA,NO,SÍ,"1,88MBPS","10,69 MBPS",21 MS,21 MS
Coahuila,05010,100,3,40,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO TECNOLÓGICO SUPERIOR DE MONCLOVA,"CARR. 57 KM 4.5 S/N, UNIDAD TECNOLÓGICA Y UNIVERSITARIA, C.P. 25701, MONCLOVA, COAH.",,SÍ,30MB,SÍ,NO,ALAMBRICA,SÍ,SÍ,25MBPS,30MBPS,9MS,7MS
Coahuila,05011,180,6,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO TECNOLÓGICO DE LA LAGUNA,"CALZ. CUAUHTÉMOC Y BLVD. REVOLUCIÓN S/N, COL. CENTRO, C.P. 27000, TORREÓN, COAH.",,SÍ,200MBPS,SÍ,NO,ALAMBRICA,SÍ,SÍ,"10,50MBPS","23,68MBPS",77MS,77MS
Coahuila,05012,90,2,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESCUELA DE BACHILLERES VENUSTIANO CARRANZA,"AV. UNIVERSIDAD No. 125, FRACC. VILLAS LA MERCED, C.P. 27296, TORREÓN, COAH.",,SÍ,100MBPS,SÍ,SÍ,ALAMBRICA,SÍ,SÍ,53.24 MBPS,"94,69MBPS",77MS,8MS
Coahuila,05014,25,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS PLANTEL LA CONCHA,"CARR. TORREÓN-SAN PEDRO KM 7.5 S/N, LOC. LA CONCHA, C.P. 27042, TORREÓN, COAH.",,SÍ,30MBPS,SÍ,NO,ALAMBRICA,SÍ,SÍ,675MS,11MS,640KBPS,11MS
Coahuila,05015,60,3,21,18,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBTA No. 1,"CARR. TORREÓN KM 14.5 S/N, LOC. LA PARTIDA, C.P. 27410, TORREÓN, COAH.",,SÍ,8 MBS,SÍ,NO,ALAMBRICA,SÍ,SÍ,"1,8 MBS","6,5MBS",64MS,220MS
Coahuila,05016,36,2,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CETIS No. 46,"CARR. 30 KM 7 S/N, COL. HÉROE DE NACOZARI, C.P. 25610, FRONTERA, COAH.",,SÍ,7MB,SÍ,NO,ALAMBRICA,SÍ,SÍ,7MBS,1MBS,"0,43MS","4,95MS"
