Sujeto,Grupo,Condicion,Día,Corto_enCorto,Corto_enLargo,Largo_enCorto,Largo_enLargo,EnsayosCortos,EnsayosLargos
20,5v2,LB,1,30,4,7,31,37,35
20,5v2,LB,2,38,0,4,40,42,40
20,5v2,LB,3,40,3,5,46,45,49
20,5v2,LB,4,53,2,7,48,60,50
20,5v2,LB,5,49,7,4,46,53,53
20,5v2,LB,6,39,0,5,37,44,37
20,5v2,LB,7,41,3,3,42,44,45
20,5v2,LB,8,58,7,2,45,60,52
20,5v2,LB,9,30,5,5,38,35,43
20,5v2,LB,10,40,1,2,35,42,37
20,5v2,M,1,34,3,11,48,46,51
20,5v2,M,2,28,0,11,38,41,38
20,5v2,M,3,30,0,16,48,48,48
20,5v2,M,4,42,0,13,51,55,51
20,5v2,M,5,38,0,18,64,56,64
20,5v2,M,6,40,1,12,56,52,57
20,5v2,M,7,22,2,5,33,27,36
20,5v2,M,8,30,3,12,41,43,44
20,5v2,M,9,28,4,12,42,40,46
20,5v2,M,10,35,3,8,42,43,45
20,1v4,LB,1,30,3,6,32,36,35
20,1v4,LB,2,30,2,3,32,34,34
20,1v4,LB,3,29,3,4,25,33,28
20,1v4,LB,4,31,0,5,31,36,31
20,1v4,LB,5,30,2,8,34,38,36
20,1v4,LB,6,30,1,6,42,36,43
20,1v4,LB,7,42,2,5,48,48,50
20,1v4,LB,8,37,1,3,45,40,46
20,1v4,LB,9,29,2,3,30,32,32
20,1v4,LB,10,17,1,5,22,23,23
20,1v4,M,1,32,1,3,38,35,39
20,1v4,M,2,28,1,9,35,37,36
20,1v4,M,3,38,1,5,39,43,40
20,1v4,M,4,34,1,2,34,36,35
20,1v4,M,5,17,3,14,28,31,31
20,1v4,M,6,33,0,12,41,45,41
20,1v4,M,7,25,1,11,34,36,35
20,1v4,M,8,37,0,7,42,44,42
20,1v4,M,9,52,0,4,59,56,59
20,1v4,M,10,42,0,5,49,47,49
20,2v8,LB,1,24,2,5,24,29,26
20,2v8,LB,2,35,3,3,34,38,37
20,2v8,LB,3,33,1,0,37,33,38
20,2v8,LB,4,33,1,4,31,37,32
20,2v8,LB,5,30,1,9,33,39,34
20,2v8,LB,6,40,1,5,41,45,42
20,2v8,LB,7,33,1,5,33,38,34
20,2v8,LB,8,37,3,1,35,38,38
20,2v8,LB,9,22,3,0,23,22,26
20,2v8,LB,10,36,2,2,30,38,32
20,2v8,M,1,27,4,7,25,34,31
20,2v8,M,2,25,2,8,33,33,35
20,2v8,M,3,32,4,4,31,36,36
20,2v8,M,4,29,3,3,34,32,37
20,2v8,M,5,35,3,3,38,38,41
20,2v8,M,6,21,3,5,33,26,38
20,2v8,M,7,20,1,4,28,24,29
20,2v8,M,8,37,0,2,37,39,37
20,2v8,M,9,38,0,5,36,43,36
20,2v8,M,10,42,3,0,40,42,44
20,3v12,LB,1,37,2,2,35,39,37
20,3v12,LB,2,36,2,0,32,36,34
20,3v12,LB,3,26,1,3,26,29,28
20,3v12,LB,4,31,1,1,31,32,32
20,3v12,LB,5,34,3,2,34,36,38
20,3v12,LB,6,46,6,1,36,47,42
20,3v12,LB,7,36,2,2,41,38,43
20,3v12,LB,8,43,3,5,44,48,47
20,3v12,LB,9,18,1,3,28,21,29
20,3v12,LB,10,34,1,4,30,38,31
20,3v12,M,1,35,3,2,32,37,35
20,3v12,M,2,40,4,4,36,44,40
20,3v12,M,3,32,4,3,31,35,36
20,3v12,M,4,32,2,2,39,34,41
20,3v12,M,5,37,4,5,40,42,44
20,3v12,M,6,25,8,2,29,27,37
20,3v12,M,7,31,4,11,40,42,44
20,3v12,M,8,28,1,4,25,32,26
20,3v12,M,9,45,3,4,45,49,49
20,3v12,M,10,35,0,4,35,39,35
3,1v4,LB,1,42,0,4,44,47,44
3,1v4,LB,2,50,3,2,38,52,41
3,1v4,LB,3,47,2,2,54,49,56
3,1v4,LB,4,55,1,4,56,59,58
3,1v4,LB,5,34,4,2,35,36,39
3,1v4,LB,6,44,0,7,55,51,55
3,1v4,LB,7,48,4,4,47,52,51
3,1v4,LB,8,45,2,2,45,47,47
3,1v4,LB,9,39,1,1,33,40,34
3,1v4,LB,10,54,0,1,48,55,48
3,1v4,M,1,39,4,4,36,43,40
3,1v4,M,2,43,1,0,48,43,49
3,1v4,M,3,44,2,1,47,45,49
3,1v4,M,4,49,2,3,47,52,49
3,1v4,M,5,33,0,3,39,36,39
3,1v4,M,6,35,0,5,38,40,38
3,1v4,M,7,43,2,1,38,44,40
3,1v4,M,8,51,2,1,49,52,51
3,1v4,M,9,48,19,3,27,51,47
3,1v4,M,10,43,2,4,48,47,50
3,2v8,LB,1,33,7,3,26,36,33
3,2v8,LB,2,34,3,3,38,37,41
3,2v8,LB,3,31,3,2,25,33,28
3,2v8,LB,4,32,0,4,39,36,39
3,2v8,LB,5,42,1,4,41,46,42
3,2v8,LB,6,34,0,1,32,35,32
3,2v8,LB,7,28,2,5,36,33,38
3,2v8,LB,8,23,0,6,32,29,32
3,2v8,LB,9,34,1,0,31,34,32
3,2v8,LB,10,43,1,2,34,45,35
3,2v8,M,1,32,5,1,34,33,39
3,2v8,M,2,24,4,3,16,27,20
3,2v8,M,3,29,2,7,33,36,35
3,2v8,M,4,24,3,6,35,30,38
3,2v8,M,5,33,3,4,32,37,35
3,2v8,M,6,43,1,3,40,46,41
3,2v8,M,7,31,4,4,33,35,37
3,2v8,M,8,26,15,1,15,28,31
3,2v8,M,9,31,3,5,32,36,35
3,2v8,M,10,29,0,3,32,32,32
3,3v12,LB,1,37,0,2,30,39,30
3,3v12,LB,2,43,0,2,50,45,50
3,3v12,LB,3,41,1,3,42,44,43
3,3v12,LB,4,22,1,1,29,23,30
3,3v12,LB,5,38,1,2,31,40,32
3,3v12,LB,6,37,1,0,29,37,30
3,3v12,LB,7,36,2,2,34,38,36
3,3v12,LB,8,38,2,0,37,38,39
3,3v12,LB,9,39,1,1,38,40,39
3,3v12,LB,10,33,2,1,30,34,32
3,3v12,M,1,28,0,0,30,28,30
3,3v12,M,2,44,1,0,42,44,43
3,3v12,M,3,39,2,2,45,41,47
3,3v12,M,4,44,2,1,42,45,44
3,3v12,M,5,52,2,3,44,55,46
3,3v12,M,6,29,3,4,30,33,33
3,3v12,M,7,32,4,1,34,33,38
3,3v12,M,8,34,0,2,28,36,28
3,3v12,M,9,27,0,3,31,30,31
3,3v12,M,10,29,0,4,34,33,34
3,5v2,LB,1,23,4,4,20,27,24
3,5v2,LB,2,25,6,2,21,27,27
3,5v2,LB,3,34,3,2,34,36,37
3,5v2,LB,4,39,3,3,31,42,34
3,5v2,LB,5,35,6,2,34,37,40
3,5v2,LB,6,35,4,0,35,35,39
3,5v2,LB,7,40,8,1,33,41,41
3,5v2,LB,8,38,6,1,40,39,46
3,5v2,LB,9,31,4,4,32,35,36
3,5v2,LB,10,45,2,2,41,47,43
3,5v2,M,1,29,2,3,26,32,28
3,5v2,M,2,36,0,1,49,37,49
3,5v2,M,3,35,1,2,39,37,40
3,5v2,M,4,39,3,6,44,45,47
3,5v2,M,5,39,2,3,45,42,47
3,5v2,M,6,41,4,4,39,45,43
3,5v2,M,7,28,3,7,33,35,36
3,5v2,M,8,25,2,2,36,27,38
3,5v2,M,9,31,6,5,25,36,31
3,5v2,M,10,43,4,10,53,53,57
33,2v8,LB,1,56,11,7,53,63,64
33,2v8,LB,2,36,11,5,29,41,40
33,2v8,LB,3,39,5,4,38,43,43
33,2v8,LB,4,39,4,4,40,43,44
33,2v8,LB,5,23,2,4,26,27,28
33,2v8,LB,6,56,16,5,48,61,64
33,2v8,LB,7,51,4,1,41,52,45
33,2v8,LB,8,42,8,7,41,49,49
33,2v8,LB,9,51,16,5,45,57,61
33,2v8,LB,10,44,5,10,53,54,58
33,2v8,M,1,25,7,20,41,47,50
33,2v8,M,2,40,15,19,47,62,63
33,2v8,M,3,22,9,12,34,34,43
33,2v8,M,4,36,8,15,37,51,45
33,2v8,M,5,38,10,18,43,57,53
33,2v8,M,6,30,4,14,37,44,41
